text,label
"Massive flood destroys hundreds of homes near the river bank","Natural Disaster"
"New virus spreading rapidly in the capital city","Disease Outbreak"
"Power outage affects main hospital for six hours","Infrastructure Failure"
"Explosion reported at chemical factory downtown","Accidents/Emergencies"
"Volunteers helping flood victims in relief camps","Community Response/Aid"
"Health officials issue new COVID prevention guidelines","Prevention/Safety Tips"
"Drug prices spike as pharmacy shelves run empty","Pharmacy/Cost Updates"
"Government announces new policy for disaster relief","General News"
"Earthquake measuring 6.2 magnitude hits coastal region","Natural Disaster"
"Dengue outbreak spreads across three districts","Disease Outbreak"
"Bridge collapse disrupts traffic on main highway","Infrastructure Failure"
"Car collision leaves five injured on motorway","Accidents/Emergencies"
"Red Cross distributes food and shelter to displaced families","Community Response/Aid"
"Ministry releases first aid guide for flood victims","Prevention/Safety Tips"
"Insulin shortage hits local pharmacies across city","Pharmacy/Cost Updates"
"Mayor holds press conference on city infrastructure plans","General News"
"Wildfire spreads across thousand acres of forest","Natural Disaster"
"Measles epidemic declared in eastern province","Disease Outbreak"
"Internet outage disrupts banking services nationwide","Infrastructure Failure"
"Gas leak causes evacuation of residential block","Accidents/Emergencies"
"Charity fundraising exceeds target for earthquake survivors","Community Response/Aid"
"Safety precautions issued ahead of monsoon season","Prevention/Safety Tips"
"Medication supply chain disruption causes hospital concern","Pharmacy/Cost Updates"
"Community event raises awareness on public health","General News"
"Cyclone warning issued for coastal areas this weekend","Natural Disaster"
"Quarantine measures enforced after bird flu detection","Disease Outbreak"
"Water supply disrupted in northern district for three days","Infrastructure Failure"
"Chemical spill forces closure of main road","Accidents/Emergencies"
"Aid workers set up rescue camps near flood zone","Community Response/Aid"
"Hygiene awareness campaign launched in flood-hit areas","Prevention/Safety Tips"
"Pharmaceutical companies warn of drug shortage crisis","Pharmacy/Cost Updates"
"Official statement released on national vaccination drive","General News"
"Tsunami alert issued after undersea earthquake","Natural Disaster"
"New pathogen identified causing respiratory infection","Disease Outbreak"
"Grid failure leaves millions without power overnight","Infrastructure Failure"
"Train crash injures dozens in rural area","Accidents/Emergencies"
"Donations collected for hurricane survivors reach record high","Community Response/Aid"
"Public urged to sanitize hands and wear masks","Prevention/Safety Tips"
"Prescription medicine costs rise thirty percent this quarter","Pharmacy/Cost Updates"
"Government unveils five-year community development plan","General News"
"Landslide blocks mountain highway after heavy rains","Natural Disaster"
"Vaccine rollout begins amid growing pandemic fears","Disease Outbreak"
"Sewage pipeline burst contaminates drinking water supply","Infrastructure Failure"
"Factory fire spreads to nearby warehouses","Accidents/Emergencies"
"Rescue teams find survivors two days after earthquake","Community Response/Aid"
"Protective gear distributed to frontline health workers","Prevention/Safety Tips"
"Local pharmacy runs out of fever medication","Pharmacy/Cost Updates"
"Public notice issued regarding upcoming road construction","General News"
"Hurricane season starts early warn meteorologists","Natural Disaster"
"Viral infection transmission rate increases warns WHO","Disease Outbreak"
